,selections,TTT_seed,MLP_seeds,tests,train
0,normalized+job,37,27,0.8898603521554341,0.8925449247207382
1,normalized+job+marital,35,65,0.8890103217972071,0.8927877610490529
2,normalized+job+marital+education,0,2,0.8899514268366727,0.8915735794074794
3,normalized+job+marital+education+default,5,36,0.8891924711596843,0.8910879067508499
4,normalized+job+marital+education+default+housing,19,0,0.8889799635701275,0.8918164157357941
5,normalized+job+marital+education+default+housing+loan,29,62,0.8890710382513661,0.8918164157357941
6,normalized+job+marital+education+default+housing+loan+contact,79,4,0.8907407407407407,0.8936376881981545
7,normalized+job+marital+education+default+housing+loan+contact+month,42,45,0.8890103217972071,0.8920592520641087
8,normalized+job+marital+education+default+housing+loan+contact+month+day_of_week,10,8,0.8912871888281725,0.8937591063623118
9,normalized+job+marital+education+default+housing+loan+contact+month+day_of_week+poutcome,14,22,0.8985731633272617,0.9020155415250122
10,normalized+marital,41,82,0.8890103217972071,0.8927877610490529
11,normalized+marital+education,64,90,0.8899514268366727,0.8915735794074794
12,normalized+marital+education+default,59,82,0.8891924711596843,0.8910879067508499
13,normalized+marital+education+default+housing,48,59,0.8889799635701275,0.8918164157357941
14,normalized+marital+education+default+housing+loan,54,48,0.8890710382513661,0.8918164157357941
15,normalized+marital+education+default+housing+loan+contact,16,45,0.8907407407407407,0.8936376881981545
16,normalized+marital+education+default+housing+loan+contact+month,75,10,0.8890103217972071,0.8920592520641087
17,normalized+marital+education+default+housing+loan+contact+month+day_of_week,8,26,0.8912871888281725,0.8937591063623118
18,normalized+marital+education+default+housing+loan+contact+month+day_of_week+poutcome,96,66,0.8985731633272617,0.9020155415250122
19,normalized+education,1,17,0.8899514268366727,0.8915735794074794
20,normalized+education+default,73,70,0.8891924711596843,0.8910879067508499
21,normalized+education+default+housing,69,9,0.8889799635701275,0.8918164157357941
22,normalized+education+default+housing+loan,12,32,0.8890710382513661,0.8918164157357941
23,normalized+education+default+housing+loan+contact,87,54,0.8907407407407407,0.8936376881981545
24,normalized+education+default+housing+loan+contact+month,52,88,0.8890103217972071,0.8920592520641087
25,normalized+education+default+housing+loan+contact+month+day_of_week,70,59,0.8912871888281725,0.8937591063623118
26,normalized+education+default+housing+loan+contact+month+day_of_week+poutcome,44,23,0.8985731633272617,0.9020155415250122
27,normalized+default,30,44,0.8891924711596843,0.8910879067508499
28,normalized+default+housing,95,40,0.8889799635701275,0.8918164157357941
29,normalized+default+housing+loan,51,38,0.8890710382513661,0.8918164157357941
30,normalized+default+housing+loan+contact,75,13,0.8907407407407407,0.8936376881981545
31,normalized+default+housing+loan+contact+month,14,32,0.8890103217972071,0.8920592520641087
32,normalized+default+housing+loan+contact+month+day_of_week,78,83,0.8912871888281725,0.8937591063623118
33,normalized+default+housing+loan+contact+month+day_of_week+poutcome,73,99,0.8985731633272617,0.9020155415250122
34,normalized+housing,72,19,0.8889799635701275,0.8918164157357941
35,normalized+housing+loan,26,23,0.8890710382513661,0.8918164157357941
36,normalized+housing+loan+contact,47,58,0.8907407407407407,0.8936376881981545
37,normalized+housing+loan+contact+month,26,97,0.8890103217972071,0.8920592520641087
38,normalized+housing+loan+contact+month+day_of_week,31,82,0.8912871888281725,0.8937591063623118
39,normalized+housing+loan+contact+month+day_of_week+poutcome,37,24,0.8985731633272617,0.9020155415250122
40,normalized+loan,99,72,0.8890710382513661,0.8918164157357941
41,normalized+loan+contact,44,37,0.8907407407407407,0.8936376881981545
42,normalized+loan+contact+month,55,32,0.8890103217972071,0.8920592520641087
43,normalized+loan+contact+month+day_of_week,35,33,0.8912871888281725,0.8937591063623118
44,normalized+loan+contact+month+day_of_week+poutcome,76,38,0.8985731633272617,0.9020155415250122
45,normalized+contact,30,44,0.8907407407407407,0.8936376881981545
46,normalized+contact+month,55,78,0.8890103217972071,0.8920592520641087
47,normalized+contact+month+day_of_week,25,78,0.8912871888281725,0.8937591063623118
48,normalized+contact+month+day_of_week+poutcome,94,83,0.8985731633272617,0.9020155415250122
49,normalized+month,10,9,0.8890103217972071,0.8920592520641087
50,normalized+month+day_of_week,64,11,0.8912871888281725,0.8937591063623118
51,normalized+month+day_of_week+poutcome,94,35,0.8985731633272617,0.9020155415250122
52,normalized+day_of_week,95,4,0.8912871888281725,0.8937591063623118
53,normalized+day_of_week+poutcome,52,67,0.8985731633272617,0.9020155415250122
54,normalized+poutcome,59,57,0.8985731633272617,0.9020155415250122
